중국어(간체)	한어병음	뜻
叫	jiào	~라고 부르다
什么	shénme	무엇
名字	míngzi	이름
呢	ne	~는요?
很	hěn	매우
好听	hǎotīng	듣기 좋다
饿	è	배고프다
是	shì	~이다
哪	nǎ	어느
国	guó	나라
人	rén	사람
韩国	Hánguó	한국
也	yě	"~도, 또한, 역시"
吗	ma	~입니까?
中国	Zhōngguó	중국
学生	xuésheng	학생
安重根	Ān Zhònggēn	안중근
牛顿	Niúdùn	뉴턴
甘地	Gāndì	간디
日本	Rìběn	일본
埃及	Āijí	이집트
法国	Fǎguó	프랑스
美国	Měiguó	미국
西班牙	Xībānyá	스페인
巴西	Bāxī	브라질
意大利	Yìdàlì	이탈리아
印度	Yìndù	인도
加纳	Jiānà	가나
葡萄牙	Pútáoyá	포르투갈
澳大利亚	Àodàlìyà	오스트레일리아
贵姓	guìxìng	성씨(존칭)
姓	xìng	성이 ~이다
李子	lǐzi	자두
冰淇淋	Bīngqílín	아이스크림